experiment,group,scale_factor,alpha,mae,rmse,features,residual_blocks,model,patience,lr,wd,soft,hard,version,resampling,data,parameters,exp_group,config_file_name
409,1,4,,0.02554,0.03352,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1,config_res_4_u.yaml
410,1,5,,0.025,0.03158,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1,config_res_5_u.yaml
411,1,8,,0.02737,0.03672,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1,config_res_8_u.yaml
464,1,10,,0.02737,0.03672,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1,config_res_10_u.yaml
412,1,16,,0.03569,0.05092,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1,config_res_16_u.yaml
413,1,20,,0.02745,0.0362,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1,config_res_20_u.yaml
415,1,25,,0.03116,0.04686,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1,config_res_25_u.yaml
414,1,40,,0.04789,0.07442,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1,config_res_40_u.yaml
416,1,50,,0.05892,0.09544,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1,config_res_50_u.yaml
417,1,80,,0.13274,0.20137,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1,config_res_80_u.yaml
418,1,100,,0.17918,0.26368,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1,config_res_100_u.yaml
419,1,200,,0.40947,0.57664,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1,config_res_200_u.yaml
420,1,400,,0.79405,1.08361,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1,config_res_400_u.yaml
465,1,4,,0.02726,0.03623,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1,config_res_4_u.yaml
466,1,5,,0.02486,0.03142,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1,config_res_5_u.yaml
