experiment,group,scale_factor,alpha,mae,rmse,features,residual_blocks,model,patience,lr,wd,soft,hard,version,resampling,data,parameters,exp_group
409,1,4,,0.02554,0.03352,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1
410,1,5,,0.025,0.03158,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1
411,1,8,,0.02737,0.03672,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1
464,1,10,,0.02737,0.03672,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1
412,1,16,,0.03569,0.05092,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1
413,1,20,,0.02745,0.0362,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1
415,1,25,,0.03116,0.04686,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1
414,1,40,,0.04789,0.07442,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1
416,1,50,,0.05892,0.09544,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1
417,1,80,,0.13274,0.20137,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1
418,1,100,,0.17918,0.26368,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1
419,1,200,,0.40947,0.57664,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1
420,1,400,,0.79405,1.08361,128,64,EDSR,15,0.0001,0.00001,0,0,mae,average,ReKIS,21402113,1
465,1,4,,0.02726,0.03623,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1
466,1,5,,0.02486,0.03142,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1
467,1,8,,0.02999,0.04023,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1
468,1,10,,0.02552,0.03083,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1
469,1,16,,0.02983,0.04135,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1
470,1,20,,0.03262,0.04702,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1
471,1,25,,0.03179,0.0481,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1
472,1,40,,0.04944,0.07582,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1
473,1,50,,0.05811,0.09213,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1
474,1,80,,0.13035,0.19673,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1
475,1,100,,0.17414,0.25454,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1
476,1,200,,0.40913,0.57639,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1
477,1,400,,0.79101,1.0856,128,64,EDSR,15,0.0001,0.00001,0,0,mae,cubic_spline,ReKIS,21402113,1
529,2,4,0.0001,0.03182,0.04293,128,64,EDSR,15,0.0001,0.00001,1,0,mse,average,ReKIS,21402113,1
530,2,5,0.0001,0.02602,0.03417,128,64,EDSR,15,0.0001,0.00001,1,0,mse,average,ReKIS,21402113,1
531,2,8,0.0001,0.03871,0.05404,128,64,EDSR,15,0.0001,0.00001,1,0,mse,average,ReKIS,21402113,1
532,2,10,0.0001,0.03165,0.04432,128,64,EDSR,15,0.0001,0.00001,1,0,mse,average,ReKIS,21402113,1
533,2,16,0.0001,0.0278,0.0378,128,64,EDSR,15,0.0001,0.00001,1,0,mse,average,ReKIS,21402113,1
534,2,20,0.0001,0.03458,0.04869,128,64,EDSR,15,0.0001,0.00001,1,0,mse,average,ReKIS,21402113,1
535,2,25,0.0001,0.02816,0.03783,128,64,EDSR,15,0.0001,0.00001,1,0,mse,average,ReKIS,21402113,1
538,2,40,0.0001,0.04724,0.0731,128,64,EDSR,15,0.0001,0.00001,1,0,mse,average,ReKIS,21402113,1
536,2,50,0.0001,0.05642,0.09227,128,64,EDSR,15,0.0001,0.00001,1,0,mse,average,ReKIS,21402113,1
537,2,80,0.0001,0.13281,0.20152,128,64,EDSR,15,0.0001,0.00001,1,0,mse,average,ReKIS,21402113,1
539,2,100,0.0001,0.17894,0.26257,128,64,EDSR,15,0.0001,0.00001,1,0,mse,average,ReKIS,21402113,1
540,2,200,0.0001,0.40647,0.57267,128,64,EDSR,15,0.0001,0.00001,1,0,mse,average,ReKIS,21402113,1
541,2,400,0.0001,0.79434,1.08423,128,64,EDSR,15,0.0001,0.00001,1,0,mse,average,ReKIS,21402113,1
542,2,4,0.0001,0.02501,0.03181,128,64,EDSR,15,0.0001,0.00001,1,0,mse,cubic_spline,ReKIS,21402113,1
557,2,5,0.0001,0.02501,0.03181,128,64,EDSR,15,0.0001,0.00001,1,0,mse,cubic_spline,ReKIS,21402113,1
543,2,8,0.0001,0.04058,0.05503,128,64,EDSR,15,0.0001,0.00001,1,0,mse,cubic_spline,ReKIS,21402113,1
544,2,10,0.0001,0.02819,0.03789,128,64,EDSR,15,0.0001,0.00001,1,0,mse,cubic_spline,ReKIS,21402113,1
545,2,16,0.0001,0.04191,0.05855,128,64,EDSR,15,0.0001,0.00001,1,0,mse,cubic_spline,ReKIS,21402113,1
546,2,20,0.0001,0.03251,0.04664,128,64,EDSR,15,0.0001,0.00001,1,0,mse,cubic_spline,ReKIS,21402113,1
547,2,25,0.0001,0.03185,0.04831,128,64,EDSR,15,0.0001,0.00001,1,0,mse,cubic_spline,ReKIS,21402113,1
554,2,40,0.0001,0.04344,0.06808,128,64,EDSR,15,0.0001,0.00001,1,0,mse,cubic_spline,ReKIS,21402113,1
555,2,50,0.0001,0.05982,0.09428,128,64,EDSR,15,0.0001,0.00001,1,0,mse,cubic_spline,ReKIS,21402113,1
556,2,80,0.0001,0.13132,0.19768,128,64,EDSR,15,0.0001,0.00001,1,0,mse,cubic_spline,ReKIS,21402113,1
551,2,100,0.0001,0.1754,0.25527,128,64,EDSR,15,0.0001,0.00001,1,0,mse,cubic_spline,ReKIS,21402113,1
552,2,200,0.0001,0.40565,0.57342,128,64,EDSR,15,0.0001,0.00001,1,0,mse,cubic_spline,ReKIS,21402113,1
553,2,400,0.0001,0.7909,1.08537,128,64,EDSR,15,0.0001,0.00001,1,0,mse,cubic_spline,ReKIS,21402113,1
451,12,4,,0.02473,0.0312,128,64,EDSR,15,0.0002,0.00001,0,1,mae,average,ReKIS,21402113,1
452,12,5,,0.02552,0.03247,128,64,EDSR,15,0.0002,0.00001,0,1,mae,average,ReKIS,21402113,1
453,12,8,,0.02566,0.03128,128,64,EDSR,15,0.0002,0.00001,0,1,mae,average,ReKIS,21402113,1
454,12,10,,0.02565,0.03078,128,64,EDSR,15,0.0002,0.00001,0,1,mae,average,ReKIS,21402113,1
455,12,16,,0.02623,0.03193,128,64,EDSR,15,0.0002,0.00001,0,1,mae,average,ReKIS,21402113,1
456,12,20,,0.02678,0.03377,128,64,EDSR,15,0.0002,0.00001,0,1,mae,average,ReKIS,21402113,1
457,12,25,,0.02825,0.03772,128,64,EDSR,15,0.0002,0.00001,0,1,mae,average,ReKIS,21402113,1
458,12,40,,0.04,0.06515,128,64,EDSR,15,0.0002,0.00001,0,1,mae,average,ReKIS,21402113,1
459,12,50,,0.05444,0.08976,128,64,EDSR,15,0.0002,0.00001,0,1,mae,average,ReKIS,21402113,1
460,12,80,,0.1287,0.19786,128,64,EDSR,15,0.0002,0.00001,0,1,mae,average,ReKIS,21402113,1
461,12,100,,0.1747,0.25946,128,64,EDSR,15,0.0002,0.00001,0,1,mae,average,ReKIS,21402113,1
462,12,200,,0.40558,0.5703,128,64,EDSR,15,0.0002,0.00001,0,1,mae,average,ReKIS,21402113,1
463,12,400,,0.79194,1.08279,128,64,EDSR,15,0.0002,0.00001,0,1,mae,average,ReKIS,21402113,1
491,12,4,,0.05157,0.0896,128,64,EDSR,15,0.0002,0.00001,0,1,mae,cubic_spline,ReKIS,21402113,1
492,12,5,,0.05491,0.09521,128,64,EDSR,15,0.0002,0.00001,0,1,mae,cubic_spline,ReKIS,21402113,1
493,12,8,,0.06233,0.11057,128,64,EDSR,15,0.0002,0.00001,0,1,mae,cubic_spline,ReKIS,21402113,1
